titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
O cômodo vazio,"Um homem acorda num cômodo vazio. [...] Confuso, tateia ao redor de si a fim de encontrar algo. Sem achar nada além do chão [...], põe-se sentado e olha para os lados: quatro paredes, encardidas, lhe guardam, silenciosas, num quadrilátero. Olha para cima: há um teto, no mesmo estado das paredes. Botando-se de gatinhas, teima em vasculhar o piso, agora indo além de onde despertou, seguindo por todos os lugares e cantos. [...] Nada. Desalentado, encara o teto. [...] Dá alguns pulos com os braços esticados, já sabendo que não daria certo, mas insiste mesmo assim, renovando seu desgosto. Angustiado, [...] senta-se no chão e leva as mãos à cabeça. Sua testa está escorregadia de suor, e fecha os olhos para pensar melhor. “Ora, este é um cômodo. E está vazio. Se estou nele... ... entrei por algum lugar.” Concluindo o óbvio, abre os olhos e vasculha novamente os arredores. Sente vergonha de si quando repara que havia uma porta numa das paredes, o tempo todo. Apalpa [...] os bolsos vazios: nada de chave. “Como saio?” Levanta-se e vai até a porta. Gira a maçaneta. “Está aberta!” Sai do cômodo e segue seu caminho, como já devia ter feito desde o começo desta estória.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... põe-se sentado e olha para os lados...” a linguagem utilizada é",c,7° ano,SPAECE,Avaliação paraná,padrão.,"['científica.', 'coloquial.\r', 'padrão.', 'regional.']"
sapo-cururu,"ZOOL Denominação comum aos anfíbios anuros do gênero Bufo, da família dos bufonídeos, de pele áspera e seca, com inúmeras verrugas e glândulas de veneno localizados na parte posterior dos olhos; cururu. 2 Sapo de grande porte (Bufo marinus), da família dos bufonídeos, encontrado no sul dos Estados Unidos da América e no México, na América Central e no norte da América do Sul, de coloração amarelada, com manchas amarronzadas e verrugas vermelhas. É bastante usado para o combate de pragas agrícolas em várias partes do mundo; aguá, cururu, sapo-gigante, sapo-jururu, xuê-açu, xuê-guaçu.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... anfíbios anuros do gênero Bufo, da família dos bufonídeos,...” a
linguagem utilizada é",b,7° ano,SPAECE,Avaliação paraná,científica.,"['arcaica.', 'científica.', 'formal.', 'regional.']"
"Aquele velho pote
","Aquele velho pote no canto da sala reporta­me a momentos únicos, vividos no Sítio Novo, onde meus avós e tios moravam, aos primos queridos que corriam junto comigo pela casa e terreiros de chão batido… Ouço o tchibum… do copo de cabo longo, pegando água geladinha dentro do pote de barro, que está todo úmido por fora porque o seu interior encontra­se gelado. Água sorvida com muito prazer, tirada com corda e carretel do poço fundo, que faz eco quando a criançada grita… Água abençoada que mata a sede da meninada suada, que corre sem parar e não cansa. As divagações surgem a qualquer tempo… a infância volta depois de cinquenta anos, a minha memória é uma caixinha com um HD em perfeito estado, e em um segundo a corrida memorial me alcança. Um pote no canto da sala e a festa de lembranças acontece. Tchibum!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “... reporta-­me a momentos únicos...” é um exemplo de linguagem",c,7° ano,SPAECE,Avaliação paraná,formal.,"['científica.', 'científica.', 'formal.', 'regional.']"
"LEI No 12.965, DE 23 DE ABRIL DE 2014","Art. 1o Esta Lei estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil e determina as diretrizes para atuação da União, dos Estados, do Distrito Federal e dos Municípios em relação à matéria. Art. 2o A disciplina do uso da internet no Brasil tem como fundamento o respeito à liberdade de expressão, bem como: I – o reconhecimento da escala mundial da rede; II – os direitos humanos, o desenvolvimento da personalidade e o exercício da cidadania em meios digitais; III – a pluralidade e a diversidade; IV – a abertura e a colaboração; V – a livre iniciativa, a livre concorrência e a defesa do consumidor; e VI – a finalidade social da rede. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,A linguagem utilizada nesse texto é comum em,c,7° ano,SPAECE,Avaliação paraná,textos normativos.,"['bate-papos na internet.', 'conversas entre amigos.', 'textos normativos.', 'registros arcaicos.']"
"Filhote de onça­parda é encontrado em Loanda, no noroeste do Paraná","Um filhote de onça­parda foi encontrado na área rural de Loanda, no noroeste do Paraná, na noite deste sábado (19). O animal estava nas proximidades de uma plantação de cana e foi recolhido por um trabalhador rural. De acordo com a Polícia Ambiental, a oncinha é recém­nascida e, provavelmente, tem menos do que uma semana de vida. Sem nenhum ferimento, ela foi encaminhada neste domingo (20) para a fazenda Green Farm, no Mato Grosso do Sul, onde poderá receber os cuidados necessários. A Polícia Ambiental orienta que os filhotes de animais selvagens não sejam retirados imediatamente do local em que são encontrados, pois a mãe pode voltar para buscá­los. O Puma concolor, comumente conhecido como onça­parda, puma, suçuarana ou leão­baio, é o segundo maior felino do Brasil e está amplamente distribuído pelo país. [...] Por ser ilegal manter ou cuidar de espécies selvagens sem licença e até mesmo perigoso se aproximar de alguns deles, entrar em contato com os órgãos responsáveis é o primeiro passo que deve ser seguido caso alguém se depare com um animal selvagem. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “O Puma concolor, comumente conhecido como onçaparda,...” é um exemplo de linguagem",b,7° ano,SPAECE,Avaliação paraná,científica.,"['arcaica.', 'científica.', 'informal.', 'regional.']"
Inda quero a amarelinha,"Quero “roubar a bandeira” quero pular a corda, quero ser o “boca de forno”, quero brincar de “quente ou frio” antes que o dia fique morno... Mas deixar a brincadeira sem pisar o pé na grama, inda sair sem dar um pio? – “Vamentrar” – disse mainha, “Tomar banho, escovar dente!” Pode crer [...], gente E eu nem morta vou pra cama!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, nos versos “inda sair sem dar um pio? / – ‘Vamentrar’ – disse mainha,” a linguagem utilizada é",a,7° ano,SPAECE,Avaliação paraná,falada em grupos de amigos.,"['falada em grupos de amigos.', 'própria de uma profissão.', 'utilizada em telejornais.', 'utilizada nos livros de Ciências.']"
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho “O esgoto mata o plâncton que produz o oxigênio [...]. Entra na cadeia alimentar marinha...” as palavras ""plâncton"", ""oxigênio"" e ""cade alimentar"" são representativas da linguagem",a,7° ano,SPAECE,Avaliação paraná,científica.,"['científica.', 'culta.', 'culta.', 'regional.']"
Etapa Lindeiros dos Jogos de Aventura e Natureza inicia nesta sexta-feira,"Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná (Jans). A competição será disputada em sete municípios com 10 modalidades em disputa até domingo (28). Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, 5 Terra Roxa e Missal serão as sedes do evento, recebendo competições de vôlei de praia, [...] canoagem de velocidade, pesca, futevôlei, skate, [...] e o futebol das estrelas. Para o diretor de Inovação da Superintendência do Esporte, Tiago Campos, o retorno dos jogos representa mais do que a volta das competições esportivas. “Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste. 10 Vamos fomentar o turismo dos municípios com modalidades de terra, água e ar, mostrando as características dos Jogos de Aventura e Natureza”, disse. [...] JANS – A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza em um evento itinerante, que beneficiou a população paranaense esportivamente e economicamente. Os Jogos de 15 Aventura e Natureza são realizados pelo Governo do Paraná por meio da Superintendência Geral do Esporte, com o apoio dos municípios-sede.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “A competição será disputada em sete municípios...” o verbo
""será"" produz o sentido de",a,7° ano,SPAECE,Avaliação paraná,apontar ação que ainda irá acontecer.,"['apontar ação que ainda irá acontecer.', 'mostrar fatos que estão em andamento.', 'revelar ordem dada pelo autor.', 'sinalizar acontecimentos concluídos.']"
Papinha? Que nada!,"O que é, o que é: vem da fêmea, é nutritivo e alimenta os filhotes. Leite? Que nada: pele de mãe. Esse parece ser o alimento que uma grande parte das espécies de cobras-cegas (também conhecidas como cecílias) consome ao nascer. Uma delas, aliás, é brasileira, como descobriram cientistas do nosso país. Trata-se da Siphonops annulatus. Como a africana Boulengerula taitanus, essa espécie – que parece uma grande minhoca – é um anfíbio e vive no subsolo. Saber por que esses bichos, que estão em continentes diferentes, têm a mesma forma de alimentar seus filhotes é o desafio dos cientistas. [...] Existem espécies de cobra-cega que são ovíparas – isto é, que põem ovos – e espécies de cobra-cega que são víviparas – ou seja, que não põem ovos e têm filhotes que já nascem com a forma dos adultos. O curioso hábito de os filhotes comerem a pele da própria mãe parece ser a principal diferença entre as espécies ovíparas e as vivíparas. [...] Para arrancar a pele da mãe, os filhotes de S. annulatus contam também com dentes especiais, que têm a forma semelhante a pequenas colheres. Porém, não pense que a fêmea fica sem a camada da pele para sempre. À medida que os filhotes vão se alimentando, essa pele vai se renovando, mais ou menos a cada três dias. Depois de um mês e meio, quando termina a nutrição da ninhada, a pele se regenera totalmente, voltando à cor cinza escuro.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o prefixo “re-” na palavra “renovando” foi usado para",b,7° ano,SPAECE,Avaliação paraná,indicar repetição.,"['apontar aproximação.', 'indicar repetição.', 'marcar anterioridade.', 'sugerir movimento.\r']"
"Filhote de onça­parda é encontrado em Loanda, no noroeste do Paraná","Um filhote de onça­parda foi encontrado na área rural de Loanda, no noroeste do Paraná, na noite deste sábado (19). O animal estava nas proximidades de uma plantação de cana e foi recolhido por um trabalhador rural. De acordo com a Polícia Ambiental, a oncinha é recém­nascida e, provavelmente, tem menos do que uma semana de vida. Sem nenhum ferimento, ela foi encaminhada neste domingo (20) para a fazenda Green Farm, no Mato Grosso do Sul, onde poderá receber os cuidados necessários. A Polícia Ambiental orienta que os filhotes de animais selvagens não sejam retirados imediatamente do local em que são encontrados, pois a mãe pode voltar para buscá­los. O Puma concolor, comumente conhecido como onça­parda, puma, suçuarana ou leão­baio, é o segundo maior felino do Brasil e está amplamente distribuído pelo país. [...] Por ser ilegal manter ou cuidar de espécies selvagens sem licença e até mesmo perigoso se aproximar de alguns deles, entrar em contato com os órgãos responsáveis é o primeiro passo que deve ser seguido caso alguém se depare com um animal selvagem. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Por ser ilegal manter ou cuidar de espécies selvagens...” o prefixo ""i"" na palavra ""ilegal"" produz o sentido de
",a,7° ano,SPAECE,Avaliação paraná,apontar negação.,"['apontar negação.', 'indicar duplicidade.', 'marcar anterioridade.', 'sugerir repetição.']"
