titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
O amigo-secreto,"A turma reuniu-se na sala enfeitada.  Martinha carregava um pacote enorme, cheio de laços, Suzana e Antônio conversavam animados. Mariana pediu para Juju começar a brincadeira. Cada um devia explicar antes por que escolhera o presente para seu amigo-secreto.  Quando Juju terminou de falar, um tênis, que mais parecia uma nave especial, foi parar nas mãos de Felipe. Este contou por que comprou o CD importado para o Luís. Que explicou por que escolheu a bermuda de surfista para o Bruno.  — Bruno, a turma gritou. — Agora é você!  Bruno pôs-se a falar:  Bom, pessoal, é o seguinte: na primeira semana de dezembro, já tarde da noite, lá em casa, ouvimos um grito de filme de terror. Todo mundo saltou da cama: “O que foi?”  Minha mãe apontou, soluçando: “A Ge-la-dei-ra! Ela que-brou!” [...] “Precisamos comprar uma nova imediatamente”.  “E o presente do amigo-secreto”, minha irmã lembrou mais que depressa.  “Bolem um presente criativo e que não custe nada”, falou meu pai.  — Foi aí que eu tive a ideia – continuou Bruno, abrindo a mochila e tirando de lá um pequeno pacote.  — Espero que meu amigo-secreto goste. Ele é o Rafa.  — Aí, Rafa! Vai lá! – gritou a turma.  Rafa começou a abrir o pacote. O silêncio era total.  — Não acredito que você guardou essa foto, cara! Que idade a gente tinha?  — Mostra! Mostra!  E a foto embrulhada de Bruno e de Rafa, quando tinham seis anos, foi passando de mão em mão. O maior sucesso.  — Puxa, Bruno. Só faltou uma coisa — Disse Rafa .  — O quê?  — Um abraço, cara. Gosto de você! Bom fim de ano!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,Qual dos trechos abaixo revela uma linguagem informal?,d,9° ano,SPAECE,Simulado 01 SPAECE ,"“— Aí, Rafa! Vai lá! – gritou a turma.”","['“A turma reuniu-se na sala enfeitada.”', '“Este contou por que comprou o CD importado para o Luís.”', '“Precisamos comprar uma nova imediatamente”.', '“— Aí, Rafa! Vai lá! – gritou a turma.”']"
Do que é feito o iogurte?,"O iogurte é um alimento amplamente consumido por jovens e adultos, seja puro ou com açúcar, mel ou frutas. Apesar disso, muitas pessoas não sabem como esse produto é feito e imaginam apenas que há leite, açúcar e alguns frutos. O que muitos não sabem é que, além desses produtos, existem bactérias! [...] As bactérias também são importantes para a fabricação de alimentos, tais como os iogurtes, queijos, coalhadas e vinagres; na produção de insulina, que é usada no tratamento de diabetes, e até em tratamentos estéticos, como o Botox. [...] No que diz respeito ao iogurte, elas são usadas para transformar o açúcar encontrado no leite (lactose) em ácido lático, que é responsável por coagular o leite. Esse processo é conhecido como fermentação. Basicamente, duas bactérias são usadas no processo de fabricação de iogurtes, a Lactobacillus bulgaricus e a Streptococcus thermophilus. A primeira está mais relacionada com a cremosidade e o cheiro do iogurte, enquanto o Streptococcus thermophilus está mais relacionado com a fermentação.  O iogurte, além de saboroso, possui várias outras qualidades. Os lactobacilos usados em sua produção são importantes, por exemplo, contra doenças do intestino. Além disso, alguns estudos comprovam que o iogurte diminui o mau hálito e é uma boa fonte de cálcio, auxiliando, assim, no combate à osteoporose e à hipertensão (pressão alta). Sem falar que o iogurte é uma grande fonte de vitaminas",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, a expressão “Lactobacillus bulgaricus” é característica da linguagem usada em textos",a,9° ano,SPAECE,Simulado 01 SPAECE ,científicos.,"['científicos.', 'jornalísticos.', 'literários.', 'publicitários.']"
O fim da escravidão no Brasil deixou o ex-escravo abandonado à própria sorte.,"A escravidão chegou ao fim, o ex-escravo tornou-se igual perante a lei, mas isso não lhe deu garantias de que ele seria aceito na sociedade, por isso os recém-libertos passaram dias difíceis mesmo com o fim da escravidão. Diferente do que aconteceu nos Estados Unidos, no Brasil, após o fim da escravidão, os ex-escravos foram abandonados à própria sorte. Nos Estados Unidos, com o fim da Guerra da Secessão, a vitória do Norte sobre o Sul implicou na emancipação total dos escravos e eles foram amparados por uma lei, que possibilitou assistência e formas de inserção do negro na sociedade.  No Brasil, sem acesso à terra e sem qualquer tipo de indenização por tanto tempo de trabalhos forçados, geralmente analfabetos, vítimas de todo tipo de preconceito, muitos exescravos permaneceram nas fazendas em que trabalhavam, vendendo seu trabalho em troca da sobrevivência. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “...os ex-escravos foram abandonados à própria sorte.” a expressão
""abandonados à própria sorte."" quer dizer ",c,9° ano,SPAECE,Simulado 01 SPAECE ,ser deixado de lado sem nenhuma assistência.,"['estar amparado por uma lei.', 'possuir liberdade para fazer o que quiser.', 'ser deixado de lado sem nenhuma assistência.', 'ter boas perspectivas para o futuro.']"
A pesquisadora do IBGE e o minerim…,"Uma pesquisadora do IBGE bate à porta de um sitiozinho escondido no sul de Minas (perto de Varginha). — Essa terra dá mandioca? — Não, senhora. – Responde o roceiro. — Dá batata? — Também não, senhora! — Dá feijão? — Nunca deu! — Arroz? — De jeito nenhum! — Milho? — Nem brincando! — Quer dizer que por aqui não adianta plantar nada? — Ah! … Se prantá é diferente…",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “— Ah! … Se prantá é diferente…” o termo ""prantá"" é próprio da linguagem",a,9° ano,SPAECE,Simulado 01 SPAECE ,caipira. ,"['caipira. ', 'científica.', 'formal.', 'técnica. ']"
Dois amigos e um chato,"Os dois estavam tomando um cafezinho no boteco da esquina, antes de partirem para as suas respectivas repartições. Um tinha um nome fácil: era o Zé. O outro tinha um nome desses de dar cãibra em língua [...]: era o Flaudemíglio. Acabado o café o Zé perguntou: — Vais pra cidade? — Vou – respondeu Flaudemíglio, acrescentando: – Mas vou pegar o 434, que vai pela Lapa. Eu tenho que entregar uma urinazinha de minha mulher no laboratório [...] olhou para a fila do 474, que ia direto pro centro e, por isso, era a fila mais piruada. Tinha gente às pampas — Vens comigo? – quis saber Flaudemíglio. — Não — disse o Zé: – Eu estou atrasado e vou pegar um direto ao centro. — Então tá – concordou Flaudemíglio, olhando para a outra esquina e, vendo que já vinha o que passava pela Lapa: – Chi! Lá vem o meu... – e correu para o ponto de parada, fazendo sinal para o ônibus parar. Foi aí que, segurando o guarda-chuva, um embrulho e mais o vidrinho da urinazinha, foi aí que o Flaudemíglio se atrapalhou e deixou cair algo no chão. [...] O motorista [...] já ia botando o carro em movimento, não dando tempo ao passageiro para apanhar o que caíra. Flaudemíglio só teve tempo de berrar para o amigo: — Zé, caiu minha carteira de identidade. Apanha e me entrega logo mais. O 434 seguiu e Zé atravessou a rua, para apanhar a carteira do outro. Já estava chegando perto quando um cidadão magrelo e antipático e, ainda por cima, com um sorriso [...], apanhou a carteira de Flaudemíglio. — Por favor, cavalheiro, esta carteira é de um amigo meu – disse o Zé estendendo a mão. Mas o que tinha um sorriso [...] não entregou. Examinou a carteira e depois perguntou: — Como é o nome do seu amigo? — Flaudemíglio – respondeu o Zé. — Flaudemíglio de quê? – insistiu o chato. Mas o Zé deu-lhe um safanão e tomou-lhe a carteira, dizendo: — Ora, quem acerta Flaudemíglio não precisa acertar mais nada!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"O trecho “O outro tinha um nome desses de dar cãibra em língua...” é um exemplo de linguagem",c,9° ano,SPAECE,Simulado 01 SPAECE ,informal.,"['científica.', 'culta.', 'informal.', 'técnica.']"
Alvinho,"O Alvinho encarava um batente que não era mole. Se virava mais que charuto em boca de bêbado por uma grana muito mixuruca, que mal dava pra ele escorar os repuxos. Coisa que não é mole, hoje em dia, com a vida custando os olhos da cara como anda. Muito nego se abilola. Principalmente se o pinta é casado e tem montes de filhos pra sustentar. Às vezes, entra em bobeira e sai falando sozinho. E esse era o lance do Alvinho. Cheio de bronca com a sinuca de bico em que estava, ficava pelos botecos cavernosos e biroscas escamosas fazendo o maior quás-quás-quás da paróquia: — Estou na piorada. Sei que estou. Mas um dia vira o jogo. Tem que virar. Do jeito que está não pode ser. Vê eu? Mino linha de frente, me atucanando nessa zorra encardida. Tá direito? Tá, não. Eu, Alvinho boa cuca, cheio de embaixada, perdido aqui nessa joça. Entregue às traças. A perigo perpétuo. Um dia tem que mudar. E como esse papo que ele engrenava não dizia nada a ninguém, o jeito era ele mesmo continuar charlando: — Nasci pra ser tratado a pão-de-ló. E, no entanto, estou só comendo capim pela raiz. Não dá pedal. Um dia me arrumo. Claro que era conversa de bêbado. Nem o mais loque dos ouvintes botava fé. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,Nesse texto predomina uma linguagem típica de,a,9° ano,SPAECE,Simulado 01 SPAECE ,conversas informais.,"['conversas informais.', 'entrevistas de emprego.', 'revistas científicas.', 'textos formais.']"
A pesquisadora do IBGE e o minerim…,"Uma pesquisadora do IBGE bate à porta de um sitiozinho escondido no sul de Minas (perto de Varginha). — Essa terra dá mandioca? — Não, senhora. – Responde o roceiro. — Dá batata? — Também não, senhora! — Dá feijão? — Nunca deu! — Arroz? — De jeito nenhum! — Milho? — Nem brincando! — Quer dizer que por aqui não adianta plantar nada? — Ah! … Se prantá é diferente…",D22 - Reconhecer efeitos de humor e ironia.,Há traços de humor no trecho:,d,9° ano,SPAECE,Simulado 01 SPAECE ,“— Ah! … Se prantá é diferente…” ,"['“— Essa terra dá mandioca?”', '“— Também não, senhora!”', '“— Quer dizer que por aqui não adianta plantar nada?”', '“— Ah! … Se prantá é diferente…” ']"
Canastra das velhinhas,"Duas velhinhas, bem velhinhas estão jogando sua canastra semanal. Uma delas olha para a outra e diz: — Por favor, não me leve a mal. Nós somos amigas há tanto tempo e agora eu não consigo me lembrar do seu nome, veja só a minha cabeça. Qual é o seu nome, querida? A outra olha fixamente para a amiga, por uns dois minutos, coça a testa e diz: — Você precisa dessa informação para quando?",D22 - Reconhecer efeitos de humor e ironia.,Esse texto é engraçado porque,b,9° ano,SPAECE,Simulado 01 SPAECE ,"a outra velhinha também esquece o próprio nome.","['a outra velhinha olha fixamente para a amiga.', 'a outra velhinha também esquece o próprio nome.\r', 'as duas velhinhas esquecem as regras do jogo.', 'as duas velhinhas estão jogando canastra.\r']"
Pescador Executivo,"O executivo da empresa estava trabalhando muito estressado. O médico recomendou que fosse pescar num local bem tranquilo. Foi então para uma roça bem pacata, levando varal, anzol e minhocas. Começou a pescar e um caipira que morava ali perto se agachou no chão, espiando curioso a pescaria. Três horas de monótona pescaria e o caboclo continuava lá, agachado, espiando curioso. Mais cinco horas de pescaria e o caipira continuava lá, olhando tudo. O executivo ficou com dó do caipira e perguntou: — O senhor está com vontade de pescar um pouquinho? E o caipira responde: — Num tenho paciência não, sô!",D22 - Reconhecer efeitos de humor e ironia.,"Nesse texto, um trecho que apresenta humor é:",d,9° ano,SPAECE,Simulado 01 SPAECE ,"“ — Num tenho paciência não, sô!” ","['“Três horas de monótona pescaria e o caboclo continuava lá...”', '“O executivo ficou com dó do caipira...”', '“— O senhor está com vontade de pescar um pouquinho?” ', '“ — Num tenho paciência não, sô!” ']"
Anestesia,"O dentista, preocupado pela rejeição quase total de seus clientes à injeção de anestesia na gengiva, bolou uma maneira diferente de extrair os dentes, baseado em que uma dor inesperada faz esquecer outra dor. Para isso instalou na cadeira do dentista uma agulha oculta acionada por um pedal. No momento exato de dar o puxão para arrancar o dente, ele apertava o pedal e a agulha atingia o bumbum do paciente. Chegou o primeiro paciente para extrair um dente, que logo mostrou seu temor à injeção na gengiva. — Olhe, eu inventei uma maneira diferente de arrancar um dente sem a injeção na gengiva - explicou o dentista. - Se quiser posso usá-la com o senhor. — Pode! Qualquer coisa menos essa danada injeção! O médico, então, sem entrar em detalhes sobre o novo método, preparou tudo e na hora de dar o puxão, apertou o pedal. O cliente deu um pequeno pulo e o dente foi extraído. — Como é? - perguntou o dentista depois de estancar o sangue. - Doeu? — Nada, doutor! Mas, puxa! Tinha uma raiz um bocado profunda!",D22 - Reconhecer efeitos de humor e ironia.,"O humor do texto está presente no fato de",c,9° ano,SPAECE,Simulado 01 SPAECE ,o paciente insinuar que a raiz do dente tinha atingido seu bumbum.,"['o dentista não explicar direito sobre o novo método criado por ele.', 'o dentista preocupar-se com a opinião de seus pacientes.', 'o paciente insinuar que a raiz do dente tinha atingido seu bumbum.', 'o paciente rejeitar o método diferente de extrair dente.']"
