titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem,descritor_codigo
A Viagem,"Um dia eu acordei com alguém me chamando. Eram João e Maria, me dando chocolates, caramelos e sonhos da casa de doces da bruxa. Pouco depois, Pinóquio me apresentou Gepeto. Os três porquinhos me mostraram pelos do lobo. Nesse momento, acordei e vi que estava no meu quarto. Um livro de capa verde no chão me lembrou que estava lendo contos de fada. Mas me senti como se tivesse sido teletransportado. Foi uma viagem inesquecível. Venha fazê­la comigo!",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “Venha fazê-la comigo!”, o ponto de exclamação produz o sentido de",c,reforçar um convite.,"['apontar um lamento.', 'indicar deboche.', 'reforçar um convite.', 'revelar admiração.']",7° ano,SPAECE,Avaliação paraná,12
Alô... é do hospital?,"Toca o telefone na recepção do hospital: – Bom dia, é da recepção? Eu gostaria de falar com alguém que me desse informações sobre os pacientes. Queria saber se certa pessoa está melhor ou piorou... – Qual é o nome do paciente? – Chama-se Maria Isabel e está no quarto 302. – Um momentinho, vou transferir a ligação para o setor de enfermagem... – Bom dia, sou a enfermeira Lourdes. O que deseja? – Gostaria de saber as condições clínicas da paciente Maria Isabel do quarto 302, por favor! – Um minuto, vou localizar o médico de plantão. – Aqui é o Dr. Carlos plantonista. Em que posso ajudar? – Olá, doutor. Precisaria que alguém me informasse sobre a saúde de Maria Isabel que está internada há três semanas no quarto 302. – Ok, minha senhora, vou consultar o prontuário da paciente... Um instante só! Hummm, aqui está: ela se alimentou bem hoje, a pressão arterial e pulso estão estáveis, responde bem à medicação prescrita e vai ser retirada do monitor cardíaco até amanhã. Continuando bem, o médico responsável assinará alta em três dias. – Ahhhh, Graças a Deus! São notícias maravilhosas! Que alegria! – Pelo seu entusiasmo, deve ser alguém muito próximo, certamente da família?! – Não, sou a própria Maria Isabel, telefonando aqui do 302! É que todo mundo entra e sai do quarto mas ninguém me diz nada!!!",D22 - Reconhecer efeitos de humor e ironia.,Esse texto é engraçado porque,c,a própria paciente liga para o hospital para saber do seu estado de saúde.,"['a enfermeira não sabia onde estava o médico de plantão', 'a ligação da paciente foi transferida para vários setores.', 'a própria paciente liga para o hospital para saber do seu estado de saúde.', 'a recepcionista do hospital não conhece o estado de saúde dos pacientes.']",9° ano,SPACE,Avaliação paraná,13
Empresa traz peixe fresco a Curitiba e gera renda extra para pescadores artesanais,"Foi durante a faculdade que o estudante de oceanografia da Universidade Federal do Paraná, Bryan Muller, 30, percebeu as dificuldades enfrentadas no dia a dia pelos pescadores artesanais em Matinhos e Pontal do Paraná. O gargalo principal está na comercialização dos pescados: como conseguir que os atravessadores paguem um preço justo aos pescadores? “Os pequenos pescadores não têm estrutura para estocar grandes quantidades de pescado e não têm acesso a canais de venda direta, por isso sempre dependeram dos atravessadores”, explica Muller. [...] Em setembro de 2018, a situação [...] desses produtores levou o estudante a criar a Olha o Peixe!, uma empresa com um olho no negócio e outro no impacto sobre pessoas e meio ambiente. Ao vender seus produtos para a Olha o Peixe!, os pescadores recebem valores bem acima dos praticados pelo mercado. Segundo Bryan, em alguns casos, a renda mensal dos pescadores aumentou em até 200%. Do preço para o consumidor final, 60% do dinheiro vai para o pescador, o restante para a empresa. [...] “A importância do projeto é também criar uma nova cultura entre os consumidores e fazer um contraponto à enorme indústria de tilápia e salmão”, diz Bryan. A zootecnista, Regina Nicodemo Cândido, 57, virou cliente assídua no final do ano passado. “Acho legal apoiar os pescadores. De longe não podemos fazer muita coisa, mas pequenos gestos podem fazer a diferença”, avalia. [...]",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “... levou o estudante a criar a Olha o Peixe!,...” o ponto de
exclamação produz o sentido de",b,indicar entusiasmo.,"['expressar raiva.', 'indicar entusiasmo.', 'marcar deboche.', 'reforçar espanto.']",7° ano,SPAECE,Avaliação paraná,12
A Viagem,"Um dia eu acordei com alguém me chamando. Eram João e Maria, me dando chocolates, caramelos e sonhos da casa de doces da bruxa. Pouco depois, Pinóquio me apresentou Gepeto. Os três porquinhos me mostraram pelos do lobo. Nesse momento, acordei e vi que estava no meu quarto. Um livro de capa verde no chão me lembrou que estava lendo contos de fada. Mas me senti como se tivesse sido teletransportado. Foi uma viagem inesquecível. Venha fazê­la comigo!",D05 - Identificar o tema ou assunto de um texto.,O assunto desse texto é,d,uma viagem ao mundo da leitura.,"['uma visita à doceria.', 'o despertar dos personagens.', 'o teletransporte de João e Maria', 'uma viagem ao mundo da leitura.']",7° ano,SPAECE,Avaliação paraná,2
Dinossauros no shopping,"Passear pelo shopping pode ser divertido, principalmente num dia de chuva, em que não dá para brincar lá fora. Encontramos cinemas com filmes bacanas, lanches gostosos, dinossauros… Opa! Achou estranho? Pois saiba que a exposição Era T-Rex levou um monte de parentes meus para shoppings em Niterói e São Paulo. A aventura começa com um filme 5D, tecnologia que une os movimentos do cinema 3D com cheiros, ventania e até esguichos de água para contar a história de um filhote de Tyranosaurus rex que se perde da mãe. Depois, o passeio continua com uma visita a réplicas de diversas espécies que se mexem de verdade, emitem sons e têm tamanho real. Quem visitar a exposição vai ver uma fêmea maiassaura cuidando de seu filhote, um apatossauro com 22 metros de comprimento e até tocar o angaturama, um dinossauro que viveu aqui no Brasil. A viagem no tempo não para por aí. No final, você vai encontrar um tanque de areia cheio de fósseis para descobrir. Eu e Diná já fomos correndo visitar nossos parentes e, apesar de sentirmos falta de algumas espécies, adoramos. Se você mora em São Paulo e quer conhecer a exposição, é preciso correr: ela só fica por lá até 29 de julho. Já em Niterói, ela vai até outubro.",D05 - Identificar o tema ou assunto de um texto.,Qual é o tema desse texto?,a,A exposição Era T-Rex nos shoppings em Niterói e São Paulo.,"['A exposição Era T-Rex nos shoppings em Niterói e São Paulo.', 'A tecnologia 5D utilizada nos cinemas e exposições.', 'As atividades nos passeios pelo shopping em dia de chuva.', 'As espécies de dinossauros que viveram no Brasil.']",7° ano,SPAECE,Avaliação paraná,2
Blog da Galera: Minha aventura para ver o show do Paul McCartney,"Isabella Vieira, da Galera CAPRICHO, foi atrás do beatle, que está no Brasil, em outra cidade! Por Isabella Otto 16 out 2017, 19h27 Tu curte Rock, bebê?*(risos) E aí, galera!? Aqui quem fala é a Bella Vieira e vim contar como foi minha experiência de conferir o show do Paul McCartney que rolou na última sexta-feira, 13, no Beira-Rio, em Porto Alegre. Apesar do tempo fechado e da garoa chata, o estádio lotou! O Beatle, mesmo setentão (Paul tem 75 anos), interagiu, rebolou e falou muito português com os fãs. A apresentação foi simplesmente extraordinária, alegre e emocionante! Na minha opinião, o mais legal foi ver várias gerações cantando e se emocionando juntas. Foi a prova de que música não tem mesmo prazo de validade… Apesar de ficar duas horas na fila [...] e de ter viajado só para conferir a apresentação (moro em Passo Fundo, no Rio Grande do Sul), o músico não deixou nada a desejar e mostrou para todos que ainda tem disposição de sobra com suas quase três horas de show! Se você quiser ir atrás de um artista em outra cidade, veja se conhece algum amigo de confiança que possa te dar um suporte. E aí, já viajou atrás do seu ídolo? Como foi a experiência? Beijos, @vieiraisabellaa",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “E aí, galera!? Aqui quem fala é a Bella Vieira...” a linguagem utilizada é comum em",a,conversas entre amigos.,"['conversas entre amigos.\r', 'discursos políticos.', 'entrevistas de empregos.', 'reuniões de negócios.']",6° ano,SPAECE,Avaliação paraná,0
Família paranaense fatura medalha de prata em concurso de queijo mais importante do mundo,"O Paraná foi muito bem representado no Concours Mondial du Fromage et des Produits Laitiers (Concurso Mundial dos Queijos e Laticínios). A premiação aconteceu de 12 a 14 de setembro, em Tours, na França. Os produtores de leite, Marisa Alexandre Martins e Leomar Melo Martins, responsáveis pelo Sítio Aliança, localizado no município Santana do Itararé, conquistaram a medalha de prata. A grande aposta da família Martins foi o queijo Maná Concafé Gourmet, com 30 dias de maturação. “O nosso queijo é feito de leite de vaca Jersey com gordura e qualidade alta. É feito com café gourmet de altíssima qualidade e precisa de 30 dias de maturação na câmara fria. É saboroso e possui um gosto não muito forte de café”, explica Leomar. Segundo o produtor, o prêmio internacional coloca o Estado do Paraná em posição de destaque. “O Paraná está entrando no âmbito nacional e internacional, isso demonstra que temos produtos originais de qualidade e seguros. Ganhar um prêmio internacional como esse, principalmente, para nós que somos de uma pequena propriedade de agricultura familiar do Norte do Paraná, é indescritível.” ressaltou a família Martins. [...] No total, participaram da competição 940 queijos de 46 países. Destes, 183 vieram de 57 produtores brasileiros, que garantiram 57 medalhas ao país: cinco delas foram super ouro, as mais importantes da disputa. O Brasil ainda conquistou 11 medalhas de ouro, 24 de prata e 17 de bronze. Ao todo, 331 medalhas foram concedidas na competição.",D06 - Distinguir fato de opinião relativa ao fato.,O trecho desse texto que apresenta um fato é:,d,"“O Brasil ainda conquistou 11 medalhas de ouro, 24 de prata e 17 de bronze.”","['“O Paraná foi muito bem representado...”.', '“‘É feito com café gourmet de altíssima qualidade...’”.', '“‘É saboroso e possui um gosto não muito forte de café”, explica Leomar.’”.', '“O Brasil ainda conquistou 11 medalhas de ouro, 24 de prata e 17 de bronze.”']",8° ano,SPAECE,Avaliação paraná,7
-,"Parece uma simples série sobre apocalipse zumbi? Errado! Sinceramente, depois da metade da segunda temporada, os zumbis são meros detalhes. A série é muito mais que isso. Ela analisa o ser humano e o que vem à tona nele em uma situação decadente como essa. Uma das minhas favoritas, recomendo.",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"No texto, no trecho “Uma das minhas favoritas, recomendo.”, a palavra ""recomendo"" sugere",c,um conselho.,"['um alerta.\r', 'um aviso.\r', 'um conselho.', 'uma ordem.']",9° ano,SPAECE,Simulado 01 SPAECE,14
Nova York proíbe venda de refrigerantes em copos grandes,"A prefeitura de Nova York proibiu [...] a venda de refrigerantes em copos com mais de 473 mililitros – equivalente a 16 onças, medida usada nos EUA – nas lanchonetes, restaurantes, estádios e salas de cinema, em uma tentativa de combater a obesidade. A Comissão de Saúde da prefeitura aprovou a proibição, que inclui todas as bebidas ricas em açúcar. Segundo o prefeito Michael Bloomberg, mais da metade dos adultos em Nova York (58%) é de obesos ou possui excesso de peso, e este problema também afeta 40% das crianças nas escolas públicas. O consumo de refrigerantes, geralmente mais baratos que a água mineral e cujos copos não são mais caros que os pequenos, é uma das causas identificadas do problema. [...] A iniciativa provocou críticas de moradores que a consideram uma intromissão exagerada do poder público em questões particulares. Representantes dos produtores de refrigerantes também se expressaram contrários. [...] “Ainda não é o fim”, afirmou em nota o grupo Nova-iorquinos pela Escolha das Bebidas, que é patrocinado pela indústria de refrigerantes. A associação reuniu mais de 250 mil assinaturas contra o projeto e considera mover um processo na justiça. “Continuaremos expressando nossa oposição a essa proibição e lutaremos pelo direito dos nova-iorquinos de tomar suas próprias decisões. E estaremos ao lado dos comerciantes que serão afetados por essas limitações arbitrárias”, dizia a nota, assinada por Eliot Hoff","D14 - Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para sua continuidade.","Nesse texto, no trecho “...que serão afetados por essas limitações arbitrárias.” a palavra""que"" refere-se",d,aos comerciantes.,"['à prefeitura de Nova York', 'às limitações arbitrárias.', 'ao poder público.\n', 'aos comerciantes.']",9° ano,SPAECE,Simulado 01 SPAECE,5
Etapa Lindeiros dos Jogos de Aventura e Natureza inicia nesta sexta-feira,"Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná (Jans). A competição será disputada em sete municípios com 10 modalidades em disputa até domingo (28). Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, 5 Terra Roxa e Missal serão as sedes do evento, recebendo competições de vôlei de praia, [...] canoagem de velocidade, pesca, futevôlei, skate, [...] e o futebol das estrelas. Para o diretor de Inovação da Superintendência do Esporte, Tiago Campos, o retorno dos jogos representa mais do que a volta das competições esportivas. “Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste. 10 Vamos fomentar o turismo dos municípios com modalidades de terra, água e ar, mostrando as características dos Jogos de Aventura e Natureza”, disse. [...] JANS – A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza em um evento itinerante, que beneficiou a população paranaense esportivamente e economicamente. Os Jogos de 15 Aventura e Natureza são realizados pelo Governo do Paraná por meio da Superintendência Geral do Esporte, com o apoio dos municípios-sede.",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto está no trecho:,a,“Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná...”.,"['“Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná...”.', 'Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, Terra Roxa e Missal serão as sedes do evento...”.', '“‘Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste.’”. ', '“A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza...”. ']",7° ano,SPAECE,Avaliação paraná,11
