titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem
Entenda como se forma um arco-íris!,"O arco colorido surge quando os raios de luz do Sol passam através das gotinhas de água que ficam suspensas no ar. A luz solar parece branca, mas é formada por muitas cores. Ao passar pelas gotinhas e se refletir nelas, a luz se decompõe e se divide em sete cores. Aí vemos um arco com faixas nas cores violeta, anil, azul, verde, amarelo, laranja e vermelho. [...] Quando observar um arco-íris no céu, lembre-se de como ele é raro e aproveite o visual. Geralmente, ele dura poucos minutos, já que o caminho colorido some quando o Sol muda de posição [...]. Faça o seu! Você vai precisar de: - 1 folha de papel em branco; - 1 copo com água; - 1 lanterna pequena e de luz branca intensa. Escolha um local com pouca claridade ou uma sala escura. Coloque o papel em frente ao copo com água. Acenda a lanterna do outro lado do copo, projetando a luz no papel. Você vai ver um arco-íris no papel. O que acontece: o copo com água faz com a luz da lanterna exatamente o que as gotinhas de água fazem com a luz do Sol, ou seja, separa as cores da luz.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"A linguagem utilizada no trecho “Quando observar um arco-íris no céu, lembre-se de como ele é raro e aproveite o visual.” é predominante",c,formal.,"['científica.', 'coloquial.\r', 'formal.', 'regional.']",6° ano,SPAECE,Avaliação paraná
Tomar banho depois de comer faz mal?,"Na verdade, não é indicado tomar banho de imersão, frio, depois das refeições. Durante a digestão, a circulação sanguínea na região do aparelho digestivo é mais intensa, visando absorver os nutrientes do bolo alimentar. Se tomamos banho de imersão, tipo numa piscina, esse mesmo sangue que deveria cumprir tal função vai para o tecido epitelial para manter o corpo aquecido. É o mesmo efeito de correr ou praticar outro exercício físico que aumenta os batimentos cardíacos depois de comer, por isso temos a famosa congestão. Não, não faz mal… Banho no chuveiro não, mas se for um banho de piscina, praia ou até mesmo uma banheira faz sim... Se você cobre todo o seu corpo de água, o sangue que está concentrado trabalhando na sua digestão tende a diminuir os pulsos e daí você sabe né?! Já o banho de chuveiro não faz mal, pois a água está correndo e não comprimindo a sua respiração como a água de uma piscina, por exemplo. O único risco do banho de chuveiro é o choque térmico, por exemplo, entrar com o corpo quente debaixo de água fria, do mesmo jeito pode acontecer na piscina…",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No trecho “... diminuir os pulsos e daí você sabe, né?!” o autor faz uso da linguagem que",d,se fala no dia a dia.,"['é falada em uma região do país. ', 'é utilizada em uma profissão.', 'se aprende na escola. ', 'se fala no dia a dia.\r']",6° ano,SPAECE,Avaliação paraná
Blog da Galera: Minha aventura para ver o show do Paul McCartney,"Isabella Vieira, da Galera CAPRICHO, foi atrás do beatle, que está no Brasil, em outra cidade! Por Isabella Otto 16 out 2017, 19h27 Tu curte Rock, bebê?*(risos) E aí, galera!? Aqui quem fala é a Bella Vieira e vim contar como foi minha experiência de conferir o show do Paul McCartney que rolou na última sexta-feira, 13, no Beira-Rio, em Porto Alegre. Apesar do tempo fechado e da garoa chata, o estádio lotou! O Beatle, mesmo setentão (Paul tem 75 anos), interagiu, rebolou e falou muito português com os fãs. A apresentação foi simplesmente extraordinária, alegre e emocionante! Na minha opinião, o mais legal foi ver várias gerações cantando e se emocionando juntas. Foi a prova de que música não tem mesmo prazo de validade… Apesar de ficar duas horas na fila [...] e de ter viajado só para conferir a apresentação (moro em Passo Fundo, no Rio Grande do Sul), o músico não deixou nada a desejar e mostrou para todos que ainda tem disposição de sobra com suas quase três horas de show! Se você quiser ir atrás de um artista em outra cidade, veja se conhece algum amigo de confiança que possa te dar um suporte. E aí, já viajou atrás do seu ídolo? Como foi a experiência? Beijos, @vieiraisabellaa",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “E aí, galera!? Aqui quem fala é a Bella Vieira...” a linguagem utilizada é comum em",a,conversas entre amigos.,"['conversas entre amigos.\r', 'discursos políticos.', 'entrevistas de empregos.', 'reuniões de negócios.']",6° ano,SPAECE,Avaliação paraná
Lagosta “algodão­doce”: o que explica essa coloração rara?,"Um grupo de pescadores dos EUA1 , teve uma encantadora surpresa. Acostumados a fisgar os mais variados tipos de frutos do mar, eles mal podiam acreditar no que viam: uma lagosta azul cintilante. “Estávamos medindo e escolhendo lagostas e, de repente, esse brilho surgiu em uma das redes”, disse Bill Coppersmith em entrevista. [...] o crustáceo é avistado uma vez a cada quatro ou cinco anos. “É a primeira vez que vejo um pessoalmente”, disse Murrell. “Você coloca sob uma luz diferente, e é incrível. Ela realmente começa a brilhar.”. A razão para esse efeito “furta­cor” é provavelmente uma mutação genética 2 . No entanto, biólogos marinhos não descartam a possibilidade de haver relação com a alimentação do animal.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho: “No entanto, biólogos marinhos não descartam a possibilidade de haver relação com a alimentação do animal. [...]” é um exemplo de linguagem",d,formal,"['coloquial.', 'técnica.', 'antiga.', 'formal']",6° ano,SPAECE,Avaliação paraná
-,"Beto Oi! Meu nome é Beto e vivo na Zoolândia, um lugar animal! Às vezes sou um pouco distraído, mas meus amigos Gisa, Hugo, Joca e Madá estão sempre por perto para me ajudar. Com eles, sempre vivo aventuras e entro em algumas confusões. Outro dia, quase derrubei uma prateleira da seção de cristais de uma loja de departamentos! Se não fosse o Hugo, nem sei o que teria acontecido! Mas, se existe algo em que presto muita atenção, é no sentimento dos outros. Não gosto de magoar quem quer que seja.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... vivo na Zoolândia, um lugar animal!”, a expressão ""um lugar animal"" é um exemplo de linguagem",b,informal.,"['científica.', 'informal.', 'padrão.', 'regional.']",6° ano,SPAECE,Avaliação paraná
-,"Aniversário da lagartixa Olha quem foi convidado O gambá, a cobra e o cágado A mocinha ficou foi metida... Logo chegou a vizinha Correu lá na cozinha Fez um prato caprichado E foi lhe fazer um agrado... O banquete não pode faltar Carne, legumes e guaraná O camaleão ajudou a comprar Mas não pode participar... A lagartixa só resmungava Ninguém na sua festa chegava Iria trancar a porta Quem chegasse mandaria ir embora... Os convidados demoraram a chegar A lagartixa ficou aborrecida O calango coitado Escorregou na descida Com a perna machucada Foi se deitar no telhado... Mas logo a turma chegou A lagartixa se animou Vieram a cabra, a vaca e a galinha Mas os convidados que ela queria Nenhum aparecia...",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “Vieram a cabra, a vaca e a galinha”, na última estrofe, é um exemplo de linguagem",c,padrão.,"['científica.', 'informal.', 'padrão.', 'regional.']",6° ano,SPAECE,Avaliação paraná
"Orquestra Criança Cidadã Meninos do Ipojuca ensaia para primeira apresentação
Concerto vai acontecer no dia 23 de dezembro em frente à sede do Projeto","Dois meses depois da inauguração do núcleo Orquestra Criança Cidadã Meninos do Ipojuca, as 100 crianças do Projeto estão empenhadas ensaiando para sua primeira apresentação que vai acontecer no dia 23 de dezembro para os moradores do Distrito de Camela e convidados. O evento vai acontecer em frente à sede do projeto, [...] centro de Camela. O projeto da Orquestra em Camela é fruto de uma parceria entre a Associação Beneficente Criança Cidadã (ABCC), ONG gestora da Orquestra, e a Prefeitura do Ipojuca [...]. Os alunos, que têm entre 8 e 16 anos, têm aula de segunda a sexta e ensaio com todos os alunos juntos aos sábado. “A dedicação dos jovens é geral. Não existe falta [...]. O grupo é bastante comprometido e eles mostram que estão gostando do que fazem.”, comemorou o músico e coordenador pedagógico do Projeto, Márcio Pereira.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,A linguagem utilizada nesse texto é,b,formal.,"['científica.', 'formal.', 'informal.', 'regional.']",6° ano,SPAECE,Avaliação paraná
Inda quero a amarelinha,"Quero “roubar a bandeira” quero pular a corda, quero ser o “boca de forno”, quero brincar de “quente ou frio” antes que o dia fique morno... Mas deixar a brincadeira sem pisar o pé na grama, inda sair sem dar um pio? – “Vamentrar” – disse mainha, “Tomar banho, escovar dente!” Pode crer [...], gente E eu nem morta vou pra cama!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, nos versos “inda sair sem dar um pio?/ – ‘Vamentrar’ – disse mainha,” a linguagem utilizada é",a,falada em grupos de amigos.,"['falada em grupos de amigos. ', 'própria de uma profissão.\r', 'utilizada em telejornais.', 'utilizada nos livros de Ciências.\r']",6° ano,SPAECE,Avaliação paraná
O cômodo vazio,"Um homem acorda num cômodo vazio. [...] Confuso, tateia ao redor de si a fim de encontrar algo. Sem achar nada além do chão [...], põe-se sentado e olha para os lados: quatro paredes, encardidas, lhe guardam, silenciosas, num quadrilátero. Olha para cima: há um teto, no mesmo estado das paredes. Botando-se de gatinhas, teima em vasculhar o piso, agora indo além de onde despertou, seguindo por todos os lugares e cantos. [...] Nada. Desalentado, encara o teto. [...] Dá alguns pulos com os braços esticados, já sabendo que não daria certo, mas insiste mesmo assim, renovando seu desgosto. Angustiado, [...] senta-se no chão e leva as mãos à cabeça. Sua testa está escorregadia de suor, e fecha os olhos para pensar melhor. “Ora, este é um cômodo. E está vazio. Se estou nele... ... entrei por algum lugar.” Concluindo o óbvio, abre os olhos e vasculha novamente os arredores. Sente vergonha de si quando repara que havia uma porta numa das paredes, o tempo todo. Apalpa [...] os bolsos vazios: nada de chave. “Como saio?” Levanta-se e vai até a porta. Gira a maçaneta. “Está aberta!” Sai do cômodo e segue seu caminho, como já devia ter feito desde o começo desta estória.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... põe-se sentado e olha para os lados...” a linguagem utilizada é",c,padrão.,"['científica.', 'coloquial.\r', 'padrão.', 'regional.']",7° ano,SPAECE,Avaliação paraná
sapo-cururu,"ZOOL Denominação comum aos anfíbios anuros do gênero Bufo, da família dos bufonídeos, de pele áspera e seca, com inúmeras verrugas e glândulas de veneno localizados na parte posterior dos olhos; cururu. 2 Sapo de grande porte (Bufo marinus), da família dos bufonídeos, encontrado no sul dos Estados Unidos da América e no México, na América Central e no norte da América do Sul, de coloração amarelada, com manchas amarronzadas e verrugas vermelhas. É bastante usado para o combate de pragas agrícolas em várias partes do mundo; aguá, cururu, sapo-gigante, sapo-jururu, xuê-açu, xuê-guaçu.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... anfíbios anuros do gênero Bufo, da família dos bufonídeos,...” a
linguagem utilizada é",b,científica.,"['arcaica.', 'científica.', 'formal.', 'regional.']",7° ano,SPAECE,Avaliação paraná
