titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
A vizinha antipática que sabia matemática ,"[...] Parecia uma sexta-feira como outra qualquer quando um caminhão de mudança parou em frente ao número 134 da minha rua, o sobrado geminado com o que eu moro. O pessoal da mudança descarregou uns móveis pesadões, uma escrivaninha irada, cheia de gavetinhas, parecida com a do meu avô. Do meu jardim, fiquei de olho em tudo. Quando o pessoal terminou de descarregar os móveis da casa, começou a tirar do caminhão umas caixas, milhares de caixas... Talvez centenas... Bem, umas dez caixas eu garanto que tinha. Aí apareceu uma senhora com cara de avó. Mas não vi nenhum neto. Uma mulher nem alta nem baixa e com os cabelos nem curtos nem compridos. Ela pagou aos homens da mudança e, quando ia entrando em casa, me viu. Não sei por que, mas me deu um frio na barriga, igual ao que tinha antes das aulas de matemática. A mulher me olhou, de baixo pra cima e de cima pra baixo, [...] entrou na casa e fechou a porta. [...] Ela podia ter dito alguma coisa do tipo: “Oi, você mora aí?”. Ou: “Oi, eu sou sua nova vizinha”. Mas nada. Fez que nem me viu [...]. Vizinha antipática! [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... uma escrivaninha irada...” a palavra ""irada"" é um exemplo de linguagem",b,9° ano,SPACE,Avaliação paraná,coloquial,"['científica', 'coloquial', 'formal.', 'regional.']"
Feliz por não ser ninguém,"[...] Acabo de voltar de uma viagem rumo ao conhecimento, usando como meio de transporte excelentes livros da literatura brasileira. Eles me levaram para Copacabana, no Rio de Janeiro do ano de 1989, onde fui recebido por Rubem Braga, a quem fui logo pedindo: Ensina-me algo que eu ainda não saiba e tenha o poder de mudar a minha vida para melhor. Leia de forma compulsiva. Quanto mais você lê menos problemas na vida você vê. Rubem Braga entrou para a história ao transformar a Crônica num dos gêneros literários mais apreciados pelos brasileiros em meados do século passado. Na contramão da imprensa que dependia de grandes fatos para transformar em manchetes, ele passou a ganhar notoriedade publicando, no cantinho dos jornais, crônicas deliciosas sobre as coisas mais banais e simples da vida. [...] Entre suas grandes obras, achei outro dia a crônica “O Padeiro”, cujo trecho memorável reproduzo abaixo: “Enquanto tomo café vou me lembrando de um homem modesto que conheci antigamente. Quando vinha deixar o pão e o jornal do dia à porta do apartamento ele apertava a campainha, mas, para não incomodar os moradores, avisava gritando:  — Não é ninguém, é o padeiro!  Interroguei-o uma vez: como tivera a ideia de gritar aquilo? “Então você não é ninguém?”  Ele abriu um sorriso largo.  Explicou que aprendera aquilo de ouvido.  Muitas vezes lhe acontecera bater a campainha de uma casa [...] e ouvir uma voz que vinha lá de dentro perguntando quem era; e ouvir a pessoa que o atendera dizer para dentro: “não é ninguém, não senhora, é o padeiro”. [...] O jornal e o pão estariam bem cedinho na porta de cada lar; e dentro do meu coração eu recebi a lição de humildade daquele homem entre todos útil e entre todos alegre [...]. Para tempos difíceis, recomendo para pessoas que amo a leitura do clássico “200 Crônicas Escolhidas” de Rubem Braga, dentro dele palavras que são pílulas para o tédio e a monotonia.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “Interroguei-o uma vez: como tivera a ideia de gritar aquilo?” é um exemplo de linguagem",c,9° ano,SPACE,Avaliação paraná,formal.,"['científica.', 'coloquial.', 'formal.', 'regional.']"
Tieta do Agreste,"[...] AINDA DE LONGE, ANTES DE TRANSPOR A PORTA DOS CORREIOS, Elisa lê, na atitude de dona Carmosina, a comprovação do que já sabia com certeza: a carta não chegara. Faz­se mais pálida a face de Elisa, os pés de chumbo, a voz inarticulada, quase um gemido: – Nada? [...] dona Carmosina indica a correspondência do dia, escassa, espalhada no balcão: – Nada! Hoje não veio nenhuma carta registrada. [...] – Que demora, hein? Em todos esses anos, nunca atrasou tanto… – Mais de dez anos… – gemeu Elisa. – Onze anos e sete meses – corrigiu dona Carmosina, escrupulosa nos detalhes. – Inda me lembro da primeira carta, como se fosse hoje. Quando abri o saco, senti logo o cheiro, naquele tempo ela usava um perfume mais forte que o de agora, encheu a sala. Que carta será essa?, perguntei a mim mesma e li correndo o sobrescrito e o nome do remetente. Estava dirigida a seu pai ou a qualquer membro da família Esteves e quem enviava era Antonieta Esteves [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho: “Elisa lê, na atitude de dona Carmosina, a comprovação do
que já sabia com certeza: a carta não chegara.” a linguagem utilizada é",c,9° ano,SPACE,Avaliação paraná,"formal.","['regional.', 'científica.', 'formal.\r', 'jurídica.']"
Resenhas – O Pequeno Príncipe,"[...] Que livro fantástico! Ele atende todos os públicos, ensina lições para qualquer idade e sua linguagem fácil colabora para isso. Ser criança é ver a vida de forma mais colorida, é sonhar e ter esperança de que irá realizar. É ter as brincadeiras e a imaginação como as grandes atividades do dia. Bem se fala que devemos ter a pureza e o coração de uma criança, pois elas veem além do superficial. Por isso, deixar que a nossa criança interior viva é nos permitir olhar além do que vemos. Permita-se apreciar os prazeres da vida e a desfrutar dos momentos que vivencia, assim, você perceberá que o essencial é invisível aos olhos, porque o que é bom é visto pelo coração. Cativa as relações adquiridas ao longo da caminhada e não se esqueça: todo adulto já foi uma criança cheia de sonhos. Você já realizou os seus?",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, a linguagem utilizada no trecho “Permita-se apreciar os prazeres da vida...” a linguagem utilizada é comum em",c,9° ano,SPACE,Avaliação paraná,desenhos animados.,"['bate-papo na internet', 'conversas com os amigos.', 'desenhos animados.', 'textos escolares.']"
Marte pode ter apresentado atividade vulcânica nos últimos 50 mil anos,"O quebra-cabeças da atividade geológica em Marte acaba de ganhar mais uma peça: pesquisadores analisaram imagens da superfície do planeta, feitas por orbitadores1, e descobriram que há um depósito de lava na região de Elysium Planitia, ao norte, que parece ser jovem – é possível que tenha se formado nos últimos 50 mil anos, um passado bem recente se pensarmos em uma escala de tempo geológica. A descoberta é surpreendente porque a maior parte do vulcanismo do planeta ocorreu entre 3 e 4 bilhões de anos atrás, mas ainda não havia evidências que indicassem que Marte pudesse ainda ser vulcanicamente ativo. É possível que isso seja um sinal de que, talvez, Marte foi potencialmente habitável – podem haver partes do planeta parecidas com regiões com atividade vulcânica em áreas glaciais do nosso planeta, como acontece na Islândia, onde há bactérias extremófilas vivendo. David Horvath, astrônomo e autor que liderou o estudo, [...] aponta que este pode ser o depósito vulcânico mais jovem já documentado em Marte: “se fôssemos comprimir a história geológica de Marte em um só dia, isso teria ocorrido no último segundo”, diz. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... onde há bactérias extremófilas vivendo.” a linguagem utilizada é comum em",c,9° ano,SPACE,Avaliação paraná,livros de Ciências.,"['conversas entre amigos.', 'documentos jurídicos.', 'livros de Ciências.', 'programas de TV.']"
Fóssil de nova espécie de dinossauro é encontrado no Paraná,"O Museu Nacional, ligado à UFRJ (Universidade Federal do Rio de Janeiro), anunciou nesta quinta-feira (18) a descoberta de uma nova espécie de dinossauro que viveu no Brasil entre 70 milhões e 80 milhões de anos atrás. Os pesquisadores encontraram o fóssil do dinossauro em escavações na zona rural da cidade de Cruzeiro do Oeste (PR), perto da divisa com o Mato Grosso do Sul. A espécie recebeu o nome de Berthasaura leopoldinae. De acordo com a instituição, o fóssil descoberto é o mais completo de um dinossauro do período Cretáceo (situado entre 145 milhões e 65 milhões de anos atrás) já achado no Brasil. Além de estar quase inteiramente preservado, ele surpreendeu os paleontólogos por suas características raras – é, por exemplo, o primeiro dinossauro edêntulo (sem dentes) descoberto na América do Sul. [...] “Bertha”, apelido que a espécie ganhou, é um terópode [...]. A espécie tinha cerca de um metro de comprimento até a cauda e chegava a 80 centímetros de altura. [...] O nome escolhido pelos pesquisadores é uma tripla homenagem. Faz referência à pesquisadora brasileira Bertha (1894-1976), que foi bióloga do Museu Nacional [...], à imperatriz Maria Leopoldina (1797–1826), que incentivou as ciências da natureza no Brasil, e à escola de samba Imperatriz Leopoldinense, cujo enredo [...] homenageou o Museu Nacional. O diretor da instituição, Alexandre Kellner, explicou [...] porque a descoberta do novo dinossauro impressionou os paleontólogos. “Tínhamos o Limussaurus, na China, onde formas jovens dessa espécie têm dentes, que são perdidos quando atingem a forma adulta. Mas, agora, temos um animal totalmente diferente, que provavelmente nunca teve dente”, disse. “Se alguém me dissesse que iríamos encontrar um terópode sem dente, e no Brasil, eu não acreditaria. Essas formas são encontradas na Ásia, algumas nos EUA. De forma geral, é uma surpresa.”",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho “...o nome de Berthasaura leopoldinae.” a expressão ""Berthasaura leopoldinae"" é um exemplo de linguagem",a,9° ano,SPACE,Avaliação paraná,científica.,"['científica.', 'coloquial.', 'formal.', 'regional.']"
Titãs,"Uma grande oportunidade desperdiçada. É uma pena que não tenham conseguido explorar nem metade do potencial dos personagens e da trama. As cenas de ação até que são boas e tal... O que mata a série é o jeito como apresentaram e desenvolveram os personagens mesmo, eles vão ficando chatos de se acompanhar ao longo dos episódios. A trama vai ficando repetitiva demais, previsível, e os personagens são como instrumentos com uma só nota, eles fazem as mesmas coisas, têm as mesmas atitudes, não há um desenvolvimento substancial. O plot é desnecessariamente confuso... Enfim, com o devido respeito aos fãs, esta é uma série de superheróis muito fraca.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho: “... até que são boas e tal...” a linguagem utilizada é",c,9° ano,SPACE,Avaliação paraná,coloquial.,"['arcaica.', 'científica.', 'coloquial.', 'formal']"
Tamoios no Arpoador,"[...] Convidado a escrever sobre um canto do Rio, escolhi o Arpoador, porque de lá se costuma desfrutar deslumbrantes entardeceres. Os termômetros marcavam quase 40º [...]. Sentado nas pedras, apreciava o Sol refletir com tal intensidade sobre o mar espelhado que devo ter experimentado aquela ilusão ótica que no deserto se chama miragem.Agente entra num clima onírico1 e acredita ver o que não existe. De repente, senti uma urgência febril de dividir aquele espetáculo mágico com alguns personagens que cantaram e encantaram o Rio. A primeira aparição foi de Millôr, que veio correndo pela areia [...]. Passou pelo largo que agora leva o seu nome, subiu até onde eu estava e repetiu uma de suas geniais definições: “O pôr do sol é de quem olha”. Em seguida, foi a vez de Tom e Vinicius, que atravessaram o Parque Garota de Ipanema carregando o violão. [...] Finalmente, vindo de Copacabana, chegou Oscar Niemeyer, trazendo nos olhos as curvas [...] dos morros cariocas com que fez sua arquitetura. Como não podia deixar de ser, a conversa girou em torno dessa cidade solar, [...] exibida que nasceu para ser musa. [...] Era ainda uma criança quando um de seus adoradores, o primeiro governador-geral Tomé de Souza, se desmanchou: “Tudo é graça o que dela se pode dizer”. Alguém lembrou que até os religiosos lançaram sobre ela olhares [...]: “É a mais airosa e amena baía que há em todo o Brasil”, suspirou o padre Anchieta [...]. Estimulado pela exuberância sensorial daquela tarde, resolvi corrigir Vinicius, que dizia que ser carioca é um estado de espírito. Acho que é mais. Não se trata apenas de alma, mas de corpo e alma. Ama-se a cidade com todos os sentidos, a começar pelos olhos. [...] Segundo Tom, que transformou em música tudo isso [...] é uma herança de nossos antepassados tamoios, que nos ensinaram a curtir a água, o corpo, a música e a dança. O Sol já estava sendo rendido no seu plantão diário [...]. Foi quando chegou Cazuza para fazer parte do show. Antes de dar um mergulho, cantou: “Vago na lua deserta das pedras do Arpoador”. Nunca me senti tão tamoio quanto nesse fim de tarde, início de noite nas pedras mágicas do Arpoador.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “Ama-se a cidade com todos os sentidos, a começar pelos olhos.” a linguagem utilizada é",a,9° ano,SPACE,Avaliação paraná,culta.,"['culta.', 'informal.', 'regional.', 'técnica.']"
Tempos verbais,"Na aula de português, a professora pergunta para os alunos: – Qual é o tempo da frase: “Eu realizei muitas compras”? Aline levanta a mão e responde: – É tempo de liquidação, professora.","D22 - Reconhecer efeitos de humor e ironia.",O humor nesse texto está no fato de,c,9° ano,SPACE,Avaliação paraná,Aline confundir o que a professora quis dizer com a palavra tempo.,"['a professora dizer que realizou muitas compras.', 'a professora fazer uma pergunta a seus alunos.', 'Aline confundir o que a professora quis dizer com a palavra tempo.', 'Aline levantar a mão para responder à pergunta feita pela professora.']"
Alô... é do hospital?,"Toca o telefone na recepção do hospital: – Bom dia, é da recepção? Eu gostaria de falar com alguém que me desse informações sobre os pacientes. Queria saber se certa pessoa está melhor ou piorou... – Qual é o nome do paciente? – Chama-se Maria Isabel e está no quarto 302. – Um momentinho, vou transferir a ligação para o setor de enfermagem... – Bom dia, sou a enfermeira Lourdes. O que deseja? – Gostaria de saber as condições clínicas da paciente Maria Isabel do quarto 302, por favor! – Um minuto, vou localizar o médico de plantão. – Aqui é o Dr. Carlos plantonista. Em que posso ajudar? – Olá, doutor. Precisaria que alguém me informasse sobre a saúde de Maria Isabel que está internada há três semanas no quarto 302. – Ok, minha senhora, vou consultar o prontuário da paciente... Um instante só! Hummm, aqui está: ela se alimentou bem hoje, a pressão arterial e pulso estão estáveis, responde bem à medicação prescrita e vai ser retirada do monitor cardíaco até amanhã. Continuando bem, o médico responsável assinará alta em três dias. – Ahhhh, Graças a Deus! São notícias maravilhosas! Que alegria! – Pelo seu entusiasmo, deve ser alguém muito próximo, certamente da família?! – Não, sou a própria Maria Isabel, telefonando aqui do 302! É que todo mundo entra e sai do quarto mas ninguém me diz nada!!!","D22 - Reconhecer efeitos de humor e ironia.",Esse texto é engraçado porque,c,9° ano,SPACE,Avaliação paraná,a própria paciente liga para o hospital para saber do seu estado de saúde.,"['a enfermeira não sabia onde estava o médico de plantão', 'a ligação da paciente foi transferida para vários setores.', 'a própria paciente liga para o hospital para saber do seu estado de saúde.', 'a recepcionista do hospital não conhece o estado de saúde dos pacientes.']"
Tradução simultânea,"Sou professor de inglês em Taiwan e tenho uma colaboradora chinesa que traduz quando os alunos não entendem o que digo. No início de cada semestre, conto piadas para que os calouros se sintam à vontade. Para saber se entendiam bem, perguntei à minha colaboradora se traduzia palavra por palavra, ou apenas o sentido geral. – Bem, na verdade, não entendo suas piadas – respondeu ela –, então peço aos alunos que riam.","D22 - Reconhecer efeitos de humor e ironia.",O que tornou esse texto engraçado foi,b,9° ano,SPACE,Avaliação paraná,a chinesa ter pedido aos alunos que rissem.,"['a curiosidade do professor sobre os alunos.', 'a chinesa ter pedido aos alunos que rissem.', 'o professor lecionar inglês em Taiwan.', 'o professor ter uma colaboradora chinesa.']"
